id;num_examen;pourcentage;valide;date_examen;duree;nom_examen
1;27554;90393;true;2023-05-06;48818;parse Territory
2;83690;78740;false;2023-05-06;33685;Usability
3;52438;5811;true;2023-05-06;23646;asymmetric
4;64271;3655;false;2023-05-06;92854;Ville
5;94960;79591;false;2023-05-06;86561;virtual Plastic mesh
6;62038;28201;false;2023-05-06;98304;Wisconsin Georgia Practical
7;72493;35646;false;2023-05-06;71681;national Mississippi Rhode
8;82184;43501;true;2023-05-06;13743;back-end
9;97305;44318;false;2023-05-06;35571;International orange Streamlined
10;12152;91183;false;2023-05-06;39133;Global Assurance
